[ud-lm] split=train sentences=36404 avg_len=35.7 skipped=0  (ewt=12544, gum=10224, lines=3457, partut=1781, atis=4274, esl=4124)
[ud-lm] split=dev sentences=5922 avg_len=33.5 skipped=0  (ewt=2001, gum=1575, lines=1118, partut=156, atis=572, esl=500)
==============================================================================
start  2026-05-03T03:01:11
preset=prod  params=302.49M  vocab=76  d=1024 h=16 L=24 ff=4096 seq=96
device=cuda  amp=True  batch=8  steps=15000  lr=0.0003->1e-05 warmup=100
data: UD English EWT  train=36404 sentences  dev=5922
ckpts -> src/sara_brain/cortex/checkpoints
==============================================================================
  step    loss     ppl     lr       tok/s     gpu
  2880  1.1966    3.31  2.76e-04      4462    4861MB (peak 6076MB)
  2900  1.1571    3.18  2.75e-04      4445    4861MB (peak 6076MB)
  2920  1.1910    3.29  2.75e-04      4508    4861MB (peak 6076MB)
  2940  1.2634    3.54  2.75e-04      4355    4861MB (peak 6076MB)
  2960  1.2168    3.38  2.74e-04      1292    4861MB (peak 6076MB)
  2980  1.1074    3.03  2.74e-04      4558    4861MB (peak 6076MB)
  3000  1.2613    3.53  2.74e-04      4546    4861MB (peak 6076MB)
[eval] step=3000  dev_ppl=3.116
[ckpt] src/sara_brain/cortex/checkpoints/grammar_prod_003000.pt
  3020  1.0672    2.91  2.73e-04      1380    4861MB (peak 6076MB)
  3040  1.2134    3.36  2.73e-04      4507    4861MB (peak 6076MB)
  3060  1.1348    3.11  2.73e-04      4537    4861MB (peak 6076MB)
  3080  1.1945    3.30  2.72e-04      4549    4861MB (peak 6076MB)
  3100  1.3149    3.72  2.72e-04      4584    4861MB (peak 6076MB)
  3120  1.0886    2.97  2.72e-04      4581    4861MB (peak 6076MB)
  3140  1.3109    3.71  2.71e-04      4604    4861MB (peak 6076MB)
  3160  1.1154    3.05  2.71e-04      4597    4861MB (peak 6076MB)
  3180  1.1944    3.30  2.70e-04      4620    4861MB (peak 6076MB)
  3200  1.1890    3.28  2.70e-04      4593    4861MB (peak 6076MB)
  3220  1.2194    3.39  2.70e-04      4487    4861MB (peak 6076MB)
  3240  1.2634    3.54  2.69e-04      4544    4861MB (peak 6076MB)
  3260  1.3146    3.72  2.69e-04      4598    4861MB (peak 6076MB)
  3280  1.3301    3.78  2.69e-04      4605    4861MB (peak 6076MB)
  3300  1.2086    3.35  2.68e-04      4563    4861MB (peak 6076MB)
  3320  1.2079    3.35  2.68e-04      4568    4861MB (peak 6076MB)
  3340  1.2802    3.60  2.67e-04      4599    4861MB (peak 6076MB)
  3360  1.4044    4.07  2.67e-04      4559    4861MB (peak 6076MB)
  3380  1.1742    3.24  2.67e-04      4516    4861MB (peak 6076MB)
  3400  1.3961    4.04  2.66e-04      4541    4861MB (peak 6076MB)
  3420  1.3149    3.72  2.66e-04      4577    4861MB (peak 6076MB)
  3440  1.0717    2.92  2.66e-04      4591    4861MB (peak 6076MB)
  3460  1.3009    3.67  2.65e-04      4552    4861MB (peak 6076MB)
  3480  1.1107    3.04  2.65e-04      4441    4861MB (peak 6076MB)
  3500  1.0910    2.98  2.64e-04      4552    4861MB (peak 6076MB)
[eval] step=3500  dev_ppl=3.281
[ckpt] src/sara_brain/cortex/checkpoints/grammar_prod_003500.pt
  3520  1.2106    3.36  2.64e-04      1404    4861MB (peak 6076MB)
  3540  1.4389    4.22  2.64e-04      4562    4861MB (peak 6076MB)
  3560  1.1625    3.20  2.63e-04      4585    4861MB (peak 6076MB)
  3580  1.1717    3.23  2.63e-04      4505    4861MB (peak 6076MB)
  3600  1.2991    3.67  2.62e-04      4496    4861MB (peak 6076MB)
  3620  1.3946    4.03  2.62e-04      4456    4861MB (peak 6076MB)
  3640  1.1165    3.05  2.61e-04      4550    4861MB (peak 6076MB)
  3660  1.1275    3.09  2.61e-04      4575    4861MB (peak 6076MB)
  3680  1.1634    3.20  2.61e-04      4487    4861MB (peak 6076MB)
  3700  1.4516    4.27  2.60e-04      4479    4861MB (peak 6076MB)
  3720  1.0597    2.89  2.60e-04      4568    4861MB (peak 6076MB)
  3740  1.1493    3.16  2.59e-04      4548    4861MB (peak 6076MB)
  3760  1.0718    2.92  2.59e-04      4610    4861MB (peak 6076MB)
  3780  1.1488    3.15  2.58e-04      4601    4861MB (peak 6076MB)
  3800  1.1029    3.01  2.58e-04      4595    4861MB (peak 6076MB)
  3820  1.1927    3.30  2.58e-04      4571    4861MB (peak 6076MB)
  3840  1.3612    3.90  2.57e-04      4409    4861MB (peak 6076MB)
  3860  1.2097    3.35  2.57e-04      4530    4861MB (peak 6076MB)
  3880  1.1903    3.29  2.56e-04      4565    4861MB (peak 6076MB)
  3900  1.2993    3.67  2.56e-04      4540    4861MB (peak 6076MB)
  3920  1.1122    3.04  2.55e-04      4581    4861MB (peak 6076MB)
  3940  1.1665    3.21  2.55e-04      4583    4861MB (peak 6076MB)
  3960  1.1815    3.26  2.55e-04      4564    4861MB (peak 6076MB)
  3980  1.2487    3.49  2.54e-04      4565    4861MB (peak 6076MB)
