[hamroby-extract] device=cuda
[hamroby-extract] generating features (train 209336 + eval 13753 pairs)...
[hamroby-extract] step= 6550/15000 loss=0.1044 elapsed=189.3s
[hamroby-extract] step= 6600/15000 loss=0.1070 elapsed=190.7s
[hamroby-extract] step= 6650/15000 loss=0.1009 elapsed=192.2s
[hamroby-extract] step= 6700/15000 loss=0.1070 elapsed=193.7s
[hamroby-extract] step= 6750/15000 loss=0.1044 elapsed=195.2s
[hamroby-extract] step= 6800/15000 loss=0.0932 elapsed=196.8s
[hamroby-extract] step= 6850/15000 loss=0.1002 elapsed=198.2s
[hamroby-extract] step= 6900/15000 loss=0.0956 elapsed=199.6s
[hamroby-extract] step= 6950/15000 loss=0.1002 elapsed=201.6s
[hamroby-extract] step= 7000/15000 loss=0.0980 elapsed=203.8s
[hamroby-extract] step= 7050/15000 loss=0.1026 elapsed=206.0s
[hamroby-extract] step= 7100/15000 loss=0.0999 elapsed=207.4s
[hamroby-extract] step= 7150/15000 loss=0.0992 elapsed=208.7s
[hamroby-extract] step= 7200/15000 loss=0.0977 elapsed=210.1s
[hamroby-extract] step= 7250/15000 loss=0.1005 elapsed=211.5s
[hamroby-extract] step= 7300/15000 loss=0.0938 elapsed=212.8s
[hamroby-extract] step= 7350/15000 loss=0.0928 elapsed=214.3s
[hamroby-extract] step= 7400/15000 loss=0.1078 elapsed=215.7s
[hamroby-extract] step= 7450/15000 loss=0.0988 elapsed=217.2s
[hamroby-extract] step= 7500/15000 loss=0.0966 elapsed=218.7s
[hamroby-extract] step= 7550/15000 loss=0.0991 elapsed=220.2s
[hamroby-extract] step= 7600/15000 loss=0.1027 elapsed=221.5s
[hamroby-extract] step= 7650/15000 loss=0.1011 elapsed=222.8s
[hamroby-extract] step= 7700/15000 loss=0.0949 elapsed=224.1s
[hamroby-extract] step= 7750/15000 loss=0.1069 elapsed=225.5s
[hamroby-extract] step= 7800/15000 loss=0.1006 elapsed=226.9s
[hamroby-extract] step= 7850/15000 loss=0.0963 elapsed=228.4s
[hamroby-extract] step= 7900/15000 loss=0.0992 elapsed=229.8s
[hamroby-extract] step= 7950/15000 loss=0.0912 elapsed=231.1s
[hamroby-extract] step= 8000/15000 loss=0.0954 elapsed=232.5s
[hamroby-extract] step= 8050/15000 loss=0.0994 elapsed=233.9s
[hamroby-extract] step= 8100/15000 loss=0.1116 elapsed=235.4s
[hamroby-extract] step= 8150/15000 loss=0.0940 elapsed=237.0s
[hamroby-extract] step= 8200/15000 loss=0.0991 elapsed=238.6s
[hamroby-extract] step= 8250/15000 loss=0.1008 elapsed=240.3s
[hamroby-extract] step= 8300/15000 loss=0.1050 elapsed=242.0s
[hamroby-extract] step= 8350/15000 loss=0.0987 elapsed=243.5s
[hamroby-extract] step= 8400/15000 loss=0.1029 elapsed=244.9s
[hamroby-extract] step= 8450/15000 loss=0.1051 elapsed=246.2s
[hamroby-extract] step= 8500/15000 loss=0.1023 elapsed=247.5s
[hamroby-extract] step= 8550/15000 loss=0.0976 elapsed=248.9s
[hamroby-extract] step= 8600/15000 loss=0.1060 elapsed=250.2s
[hamroby-extract] step= 8650/15000 loss=0.0972 elapsed=251.6s
[hamroby-extract] step= 8700/15000 loss=0.1052 elapsed=253.0s
[hamroby-extract] step= 8750/15000 loss=0.0995 elapsed=254.4s
[hamroby-extract] step= 8800/15000 loss=0.1004 elapsed=255.8s
[hamroby-extract] step= 8850/15000 loss=0.1083 elapsed=257.2s
[hamroby-extract] step= 8900/15000 loss=0.1040 elapsed=258.9s
[hamroby-extract] step= 8950/15000 loss=0.0961 elapsed=260.7s
[hamroby-extract] step= 9000/15000 loss=0.1003 elapsed=262.2s
[hamroby-extract] step= 9050/15000 loss=0.1044 elapsed=263.5s
[hamroby-extract] step= 9100/15000 loss=0.1005 elapsed=264.8s
[hamroby-extract] step= 9150/15000 loss=0.0991 elapsed=266.3s
[hamroby-extract] step= 9200/15000 loss=0.0970 elapsed=267.6s
[hamroby-extract] step= 9250/15000 loss=0.0878 elapsed=268.9s
[hamroby-extract] step= 9300/15000 loss=0.0922 elapsed=270.3s
[hamroby-extract] step= 9350/15000 loss=0.0882 elapsed=271.6s
[hamroby-extract] step= 9400/15000 loss=0.0956 elapsed=273.1s
[hamroby-extract] step= 9450/15000 loss=0.0924 elapsed=274.6s
[hamroby-extract] step= 9500/15000 loss=0.0955 elapsed=275.9s
[hamroby-extract] step= 9550/15000 loss=0.1077 elapsed=277.3s
[hamroby-extract] step= 9600/15000 loss=0.0966 elapsed=278.6s
[hamroby-extract] step= 9650/15000 loss=0.0997 elapsed=280.0s
[hamroby-extract] step= 9700/15000 loss=0.0871 elapsed=281.4s
[hamroby-extract] step= 9750/15000 loss=0.0979 elapsed=282.7s
[hamroby-extract] step= 9800/15000 loss=0.0992 elapsed=284.2s
[hamroby-extract] step= 9850/15000 loss=0.0999 elapsed=285.7s
[hamroby-extract] step= 9900/15000 loss=0.1002 elapsed=287.3s
[hamroby-extract] step= 9950/15000 loss=0.1053 elapsed=288.9s
[hamroby-extract] step=10000/15000 loss=0.0880 elapsed=290.4s
[hamroby-extract] step=10050/15000 loss=0.0969 elapsed=291.8s
[hamroby-extract] step=10100/15000 loss=0.0996 elapsed=293.2s
[hamroby-extract] step=10150/15000 loss=0.0905 elapsed=294.7s
[hamroby-extract] step=10200/15000 loss=0.0922 elapsed=296.1s
[hamroby-extract] step=10250/15000 loss=0.0837 elapsed=297.5s
[hamroby-extract] step=10300/15000 loss=0.0979 elapsed=298.8s
[hamroby-extract] step=10350/15000 loss=0.0978 elapsed=300.2s
[hamroby-extract] step=10400/15000 loss=0.1003 elapsed=301.7s
[hamroby-extract] step=10450/15000 loss=0.0954 elapsed=303.2s
[hamroby-extract] step=10500/15000 loss=0.0953 elapsed=304.9s
[hamroby-extract] step=10550/15000 loss=0.0965 elapsed=306.4s
[hamroby-extract] step=10600/15000 loss=0.1014 elapsed=307.7s
[hamroby-extract] step=10650/15000 loss=0.1009 elapsed=309.3s
[hamroby-extract] step=10700/15000 loss=0.0967 elapsed=310.7s
[hamroby-extract] step=10750/15000 loss=0.0972 elapsed=312.2s
[hamroby-extract] step=10800/15000 loss=0.0952 elapsed=313.5s
[hamroby-extract] step=10850/15000 loss=0.0961 elapsed=314.8s
[hamroby-extract] step=10900/15000 loss=0.0911 elapsed=316.2s
[hamroby-extract] step=10950/15000 loss=0.0850 elapsed=317.6s
[hamroby-extract] step=11000/15000 loss=0.0845 elapsed=319.0s
[hamroby-extract] step=11050/15000 loss=0.0846 elapsed=320.3s
[hamroby-extract] step=11100/15000 loss=0.0847 elapsed=321.8s
[hamroby-extract] step=11150/15000 loss=0.0961 elapsed=323.3s
[hamroby-extract] step=11200/15000 loss=0.0997 elapsed=324.6s
[hamroby-extract] step=11250/15000 loss=0.1048 elapsed=326.0s
[hamroby-extract] step=11300/15000 loss=0.0896 elapsed=327.3s
[hamroby-extract] step=11350/15000 loss=0.0943 elapsed=328.8s
[hamroby-extract] step=11400/15000 loss=0.0931 elapsed=330.3s
[hamroby-extract] step=11450/15000 loss=0.1000 elapsed=331.7s
[hamroby-extract] step=11500/15000 loss=0.0981 elapsed=333.1s
[hamroby-extract] step=11550/15000 loss=0.1001 elapsed=334.8s
[hamroby-extract] step=11600/15000 loss=0.0945 elapsed=336.5s
[hamroby-extract] step=11650/15000 loss=0.0905 elapsed=338.1s
[hamroby-extract] step=11700/15000 loss=0.0920 elapsed=339.8s
[hamroby-extract] step=11750/15000 loss=0.1009 elapsed=341.6s
[hamroby-extract] step=11800/15000 loss=0.1032 elapsed=343.2s
[hamroby-extract] step=11850/15000 loss=0.0930 elapsed=344.9s
[hamroby-extract] step=11900/15000 loss=0.0857 elapsed=346.3s
[hamroby-extract] step=11950/15000 loss=0.0863 elapsed=347.9s
[hamroby-extract] step=12000/15000 loss=0.0969 elapsed=349.5s
[hamroby-extract] step=12050/15000 loss=0.0825 elapsed=351.1s
[hamroby-extract] step=12100/15000 loss=0.0955 elapsed=352.8s
[hamroby-extract] step=12150/15000 loss=0.0923 elapsed=354.4s
[hamroby-extract] step=12200/15000 loss=0.0859 elapsed=356.0s
[hamroby-extract] step=12250/15000 loss=0.0933 elapsed=357.7s
[hamroby-extract] step=12300/15000 loss=0.0954 elapsed=359.4s
[hamroby-extract] step=12350/15000 loss=0.0854 elapsed=360.9s
[hamroby-extract] step=12400/15000 loss=0.1009 elapsed=362.4s
[hamroby-extract] step=12450/15000 loss=0.0987 elapsed=363.7s
[hamroby-extract] step=12500/15000 loss=0.0958 elapsed=365.0s
[hamroby-extract] step=12550/15000 loss=0.0844 elapsed=366.6s
[hamroby-extract] step=12600/15000 loss=0.1014 elapsed=368.0s
[hamroby-extract] step=12650/15000 loss=0.0982 elapsed=369.4s
[hamroby-extract] step=12700/15000 loss=0.1037 elapsed=370.7s
[hamroby-extract] step=12750/15000 loss=0.0910 elapsed=372.0s
[hamroby-extract] step=12800/15000 loss=0.0892 elapsed=373.5s
[hamroby-extract] step=12850/15000 loss=0.0869 elapsed=374.8s
[hamroby-extract] step=12900/15000 loss=0.0864 elapsed=376.5s
[hamroby-extract] step=12950/15000 loss=0.0919 elapsed=377.8s
[hamroby-extract] step=13000/15000 loss=0.0959 elapsed=379.2s
[hamroby-extract] step=13050/15000 loss=0.0965 elapsed=380.5s
[hamroby-extract] step=13100/15000 loss=0.0977 elapsed=381.9s
[hamroby-extract] step=13150/15000 loss=0.0892 elapsed=383.2s
[hamroby-extract] step=13200/15000 loss=0.0958 elapsed=384.6s
[hamroby-extract] step=13250/15000 loss=0.0979 elapsed=386.1s
[hamroby-extract] step=13300/15000 loss=0.0823 elapsed=387.5s
[hamroby-extract] step=13350/15000 loss=0.0960 elapsed=388.9s
[hamroby-extract] step=13400/15000 loss=0.1002 elapsed=390.2s
[hamroby-extract] step=13450/15000 loss=0.0875 elapsed=391.5s
[hamroby-extract] step=13500/15000 loss=0.0967 elapsed=392.8s
[hamroby-extract] step=13550/15000 loss=0.0890 elapsed=394.0s
[hamroby-extract] step=13600/15000 loss=0.1035 elapsed=395.3s
[hamroby-extract] step=13650/15000 loss=0.0895 elapsed=396.6s
[hamroby-extract] step=13700/15000 loss=0.0990 elapsed=397.9s
[hamroby-extract] step=13750/15000 loss=0.0942 elapsed=399.2s
[hamroby-extract] step=13800/15000 loss=0.0994 elapsed=400.4s
[hamroby-extract] step=13850/15000 loss=0.0957 elapsed=401.9s
[hamroby-extract] step=13900/15000 loss=0.0929 elapsed=403.3s
[hamroby-extract] step=13950/15000 loss=0.1017 elapsed=404.6s
[hamroby-extract] step=14000/15000 loss=0.0828 elapsed=406.1s
[hamroby-extract] step=14050/15000 loss=0.0809 elapsed=407.4s
[hamroby-extract] step=14100/15000 loss=0.0960 elapsed=408.7s
[hamroby-extract] step=14150/15000 loss=0.1027 elapsed=410.2s
[hamroby-extract] step=14200/15000 loss=0.0878 elapsed=411.6s
[hamroby-extract] step=14250/15000 loss=0.0899 elapsed=413.0s
[hamroby-extract] step=14300/15000 loss=0.0993 elapsed=414.3s
[hamroby-extract] step=14350/15000 loss=0.0964 elapsed=415.7s
[hamroby-extract] step=14400/15000 loss=0.0905 elapsed=417.0s
[hamroby-extract] step=14450/15000 loss=0.0893 elapsed=418.3s
[hamroby-extract] step=14500/15000 loss=0.0977 elapsed=419.6s
[hamroby-extract] step=14550/15000 loss=0.0938 elapsed=421.1s
[hamroby-extract] step=14600/15000 loss=0.0915 elapsed=422.8s
[hamroby-extract] step=14650/15000 loss=0.0948 elapsed=424.6s
[hamroby-extract] step=14700/15000 loss=0.0877 elapsed=425.9s
[hamroby-extract] step=14750/15000 loss=0.0924 elapsed=427.1s
[hamroby-extract] step=14800/15000 loss=0.0935 elapsed=428.5s
[hamroby-extract] step=14850/15000 loss=0.0887 elapsed=429.8s
[hamroby-extract] step=14900/15000 loss=0.0956 elapsed=431.3s
[hamroby-extract] step=14950/15000 loss=0.1057 elapsed=432.7s
[hamroby-extract] step=15000/15000 loss=0.0939 elapsed=434.1s
[hamroby-extract] eval token_acc=0.952 triple_em=0.823
[hamroby-extract] saved src/sara_brain/cortex/checkpoints/hamroby_extractor_v1.pt
