[hamroby-extract] device=cuda
[hamroby-extract] generating features (train 230213 + eval 15559 pairs)...
[hamroby-extract] step=11750/15000 loss=0.0899 elapsed=329.8s
[hamroby-extract] step=11800/15000 loss=0.1000 elapsed=331.2s
[hamroby-extract] step=11850/15000 loss=0.0931 elapsed=332.4s
[hamroby-extract] step=11900/15000 loss=0.0952 elapsed=333.6s
[hamroby-extract] step=11950/15000 loss=0.1012 elapsed=334.8s
[hamroby-extract] step=12000/15000 loss=0.1034 elapsed=336.2s
[hamroby-extract] step=12050/15000 loss=0.0999 elapsed=337.5s
[hamroby-extract] step=12100/15000 loss=0.0852 elapsed=338.9s
[hamroby-extract] step=12150/15000 loss=0.0961 elapsed=340.3s
[hamroby-extract] step=12200/15000 loss=0.0906 elapsed=341.7s
[hamroby-extract] step=12250/15000 loss=0.0927 elapsed=343.0s
[hamroby-extract] step=12300/15000 loss=0.0930 elapsed=344.3s
[hamroby-extract] step=12350/15000 loss=0.0940 elapsed=345.9s
[hamroby-extract] step=12400/15000 loss=0.0973 elapsed=347.3s
[hamroby-extract] step=12450/15000 loss=0.1044 elapsed=348.7s
[hamroby-extract] step=12500/15000 loss=0.0950 elapsed=350.0s
[hamroby-extract] step=12550/15000 loss=0.0991 elapsed=351.3s
[hamroby-extract] step=12600/15000 loss=0.0923 elapsed=352.6s
[hamroby-extract] step=12650/15000 loss=0.0876 elapsed=353.9s
[hamroby-extract] step=12700/15000 loss=0.0938 elapsed=355.4s
[hamroby-extract] step=12750/15000 loss=0.0920 elapsed=356.7s
[hamroby-extract] step=12800/15000 loss=0.1009 elapsed=358.0s
[hamroby-extract] step=12850/15000 loss=0.0918 elapsed=359.4s
[hamroby-extract] step=12900/15000 loss=0.0843 elapsed=361.1s
[hamroby-extract] step=12950/15000 loss=0.0839 elapsed=362.6s
[hamroby-extract] step=13000/15000 loss=0.0876 elapsed=364.1s
[hamroby-extract] step=13050/15000 loss=0.0939 elapsed=365.8s
[hamroby-extract] step=13100/15000 loss=0.0984 elapsed=367.3s
[hamroby-extract] step=13150/15000 loss=0.0912 elapsed=368.6s
[hamroby-extract] step=13200/15000 loss=0.0939 elapsed=369.9s
[hamroby-extract] step=13250/15000 loss=0.0963 elapsed=371.2s
[hamroby-extract] step=13300/15000 loss=0.0951 elapsed=372.5s
[hamroby-extract] step=13350/15000 loss=0.1049 elapsed=373.7s
[hamroby-extract] step=13400/15000 loss=0.0943 elapsed=374.9s
[hamroby-extract] step=13450/15000 loss=0.0883 elapsed=376.1s
[hamroby-extract] step=13500/15000 loss=0.0980 elapsed=377.3s
[hamroby-extract] step=13550/15000 loss=0.0962 elapsed=378.5s
[hamroby-extract] step=13600/15000 loss=0.0950 elapsed=380.0s
[hamroby-extract] step=13650/15000 loss=0.0905 elapsed=381.3s
[hamroby-extract] step=13700/15000 loss=0.0891 elapsed=382.8s
[hamroby-extract] step=13750/15000 loss=0.0991 elapsed=384.3s
[hamroby-extract] step=13800/15000 loss=0.0914 elapsed=385.9s
[hamroby-extract] step=13850/15000 loss=0.0916 elapsed=387.2s
[hamroby-extract] step=13900/15000 loss=0.0971 elapsed=388.3s
[hamroby-extract] step=13950/15000 loss=0.0917 elapsed=389.5s
[hamroby-extract] step=14000/15000 loss=0.1011 elapsed=390.7s
[hamroby-extract] step=14050/15000 loss=0.0958 elapsed=391.9s
[hamroby-extract] step=14100/15000 loss=0.0836 elapsed=393.5s
[hamroby-extract] step=14150/15000 loss=0.0937 elapsed=395.1s
[hamroby-extract] step=14200/15000 loss=0.0990 elapsed=396.4s
[hamroby-extract] step=14250/15000 loss=0.0997 elapsed=397.8s
[hamroby-extract] step=14300/15000 loss=0.0916 elapsed=399.5s
[hamroby-extract] step=14350/15000 loss=0.0932 elapsed=400.8s
[hamroby-extract] step=14400/15000 loss=0.0883 elapsed=402.2s
[hamroby-extract] step=14450/15000 loss=0.0877 elapsed=403.8s
[hamroby-extract] step=14500/15000 loss=0.0967 elapsed=405.4s
[hamroby-extract] step=14550/15000 loss=0.0872 elapsed=407.1s
[hamroby-extract] step=14600/15000 loss=0.0983 elapsed=408.7s
[hamroby-extract] step=14650/15000 loss=0.0835 elapsed=410.2s
[hamroby-extract] step=14700/15000 loss=0.1022 elapsed=411.5s
[hamroby-extract] step=14750/15000 loss=0.0859 elapsed=412.8s
[hamroby-extract] step=14800/15000 loss=0.0909 elapsed=414.1s
[hamroby-extract] step=14850/15000 loss=0.0909 elapsed=415.5s
[hamroby-extract] step=14900/15000 loss=0.0979 elapsed=416.8s
[hamroby-extract] step=14950/15000 loss=0.0861 elapsed=418.1s
[hamroby-extract] step=15000/15000 loss=0.0850 elapsed=419.5s
[hamroby-extract] eval token_acc=0.952 triple_em=0.835
[hamroby-extract] saved src/sara_brain/cortex/checkpoints/hamroby_extractor_v1_aug4.pt
