[hamroby-extract] device=cuda
[hamroby-extract] generating features (train 229436 + eval 15316 pairs)...
[hamroby-extract] step=10150/15000 loss=0.0949 elapsed=281.0s
[hamroby-extract] step=10200/15000 loss=0.0947 elapsed=282.4s
[hamroby-extract] step=10250/15000 loss=0.0914 elapsed=283.9s
[hamroby-extract] step=10300/15000 loss=0.0951 elapsed=285.1s
[hamroby-extract] step=10350/15000 loss=0.0961 elapsed=286.3s
[hamroby-extract] step=10400/15000 loss=0.0926 elapsed=287.5s
[hamroby-extract] step=10450/15000 loss=0.0970 elapsed=288.8s
[hamroby-extract] step=10500/15000 loss=0.0995 elapsed=290.2s
[hamroby-extract] step=10550/15000 loss=0.1062 elapsed=291.5s
[hamroby-extract] step=10600/15000 loss=0.0948 elapsed=292.7s
[hamroby-extract] step=10650/15000 loss=0.1028 elapsed=294.0s
[hamroby-extract] step=10700/15000 loss=0.0943 elapsed=295.3s
[hamroby-extract] step=10750/15000 loss=0.0977 elapsed=296.7s
[hamroby-extract] step=10800/15000 loss=0.0913 elapsed=298.4s
[hamroby-extract] step=10850/15000 loss=0.0992 elapsed=299.6s
[hamroby-extract] step=10900/15000 loss=0.0918 elapsed=300.9s
[hamroby-extract] step=10950/15000 loss=0.1096 elapsed=302.1s
[hamroby-extract] step=11000/15000 loss=0.1032 elapsed=303.4s
[hamroby-extract] step=11050/15000 loss=0.0938 elapsed=304.6s
[hamroby-extract] step=11100/15000 loss=0.0950 elapsed=305.7s
[hamroby-extract] step=11150/15000 loss=0.0974 elapsed=307.1s
[hamroby-extract] step=11200/15000 loss=0.0964 elapsed=308.5s
[hamroby-extract] step=11250/15000 loss=0.0934 elapsed=310.0s
[hamroby-extract] step=11300/15000 loss=0.0993 elapsed=311.5s
[hamroby-extract] step=11350/15000 loss=0.0874 elapsed=312.7s
[hamroby-extract] step=11400/15000 loss=0.0916 elapsed=314.1s
[hamroby-extract] step=11450/15000 loss=0.1048 elapsed=315.5s
[hamroby-extract] step=11500/15000 loss=0.0901 elapsed=316.8s
[hamroby-extract] step=11550/15000 loss=0.0931 elapsed=318.3s
[hamroby-extract] step=11600/15000 loss=0.0977 elapsed=319.8s
[hamroby-extract] step=11650/15000 loss=0.0917 elapsed=321.2s
[hamroby-extract] step=11700/15000 loss=0.0906 elapsed=322.6s
[hamroby-extract] step=11750/15000 loss=0.0876 elapsed=323.9s
[hamroby-extract] step=11800/15000 loss=0.1013 elapsed=325.3s
[hamroby-extract] step=11850/15000 loss=0.0883 elapsed=326.7s
[hamroby-extract] step=11900/15000 loss=0.0836 elapsed=328.0s
